reference,translation,tense_score,gender_score
यह डिवाइस को हवा में मूव करके खिलाड़ियों को एक्शन और मूवमेंट कंट्रोल करने की अनुमति देगा.,यह खिलाड़ियों को डिवाइस को हवा में घुमाकर वीडियो गेम में क्रियाओं और गतिविधियों को नियंत्रित करने की अनुमति देगा।,1.0,1.0
"1990 मे, रेगिस्तान की रेत के खतरे के कारण इसे विश्व धरोहरों की सूची में डाला गया जो खतरे में हैं |",1990 में रेगिस्तानी रेत के खतरे के कारण इसे खतरे में विश्व धरोहर स्थलों की सूची में जोड़ा गया था।,1.0,1.0
"यदि आपको देश की सड़कों पर वाहन चलाने की आदत नहीं है, तो अपने साथ यह जानकारी रखें : स्टीप ग्रेड्‍स, पतली गलियाँ और ख़तरनाक मोड़.","अगर आप देश की सड़कों पर ड्राइविंग नहीं करते हैं, तो अपने व्हिट्स को अपने बारे में रखें: स्टीप ग्रेड, संकीर्ण गलियों, और धारदार वक्र प्रमुख हैं।",1.0,1.0
डाउनहिल स्कीइंग एक खेल के रूप में कम से कम 17 वीं शताब्दी में शुरु हुई थी और 1861 में ऑस्ट्रेलिया में नॉर्वे के लोगों द्वारा पहला मनोरंजक स्की क्लब खोला गया था।,खेल के रूप में डाउनहिल स्कीइंग कम से कम 17वीं सदी में वापस जाती है और 1861 में ऑस्ट्रेलिया में नॉर्वे के लोगों द्वारा पहला रिक्रिएशनल स्की क्लब खोला गया था।,0.3333,1.0
"सभी गुफाओं, जिनका नाम “सात बहनें” रखा गया, में घुसने की जगह का डायमीटर कम से कम 100 से 250 मीटर (328 से 820 फ़ीट) है.",द सेवन सिस्टर्स' नाम के सभी गुफा एंटर कम से कम 100 से 250 मीटर (328 से 820 फीट) व्यास में हैं।,1.0,1.0
कैसाब्लांका मोरक्को में खरीदारी करने के लिए सबसे कम दिलचस्प स्थानों में से एक है.,कैसाब्लांका मोरक्को के सभी में खरीदारी करने के लिए सबसे कम दिलचस्प स्थानों में से एक है।,1.0,1.0
"उदाहरण के लिए, दुनिया में सबसे ज़्यादा इस्तेमाल होने वाला फ़ोटोग्राफ़ी फ़ॉर्मेट 35mm है. यह एनालॉग फिल्म दौर के आखिर में काफी प्रचलित था.","उदाहरण के लिए, दुनिया में सबसे आम स्टिल इमेज फोटोग्राफी प्रारूप 35 मिमी है, जो एनालॉग फिल्म युग के अंत में प्रमुख फिल्म आकार था।",1.0,1.0
"पुलिस के मुताबिक, फ़ोटोग्राफर को टक्कर मारने वाले वाहन चालक पर आपराधिक आरोप लगने की संभावना बहुत कम है.","पुलिस के अनुसार, फोटोग्राफर को मारने वाले वाहन के ड्राइवर पर आपराधिक आरोपों का सामना करने की संभावना नहीं है।",1.0,1.0
"जिसके परिणामस्वरूप, मंच पर कलाकार गांजे भरी सिगरटें पीते हैं और ये थिएटर खुद दर्शकों को भी इसमें साथ शामिल होने के लिए प्रेरित करते हैं.","नतीजतन, प्रदर्शनकारी मंच पर कैनबिस जोड़ों को धूम्रपान करते हैं और थिएटर ही दर्शकों को इसमें शामिल होने के लिए प्रोत्साहित कर रहा है।",1.0,1.0
"उत्तर की ओर हमारी महान आवर लेडी ऑफ़ फातिमा (श्राइन) अभ्यारण्य की भी यात्रा करे , दुनिया भर में प्रसिद्ध एक जगह जहा मैरिएन दिखाई देते हैं।",इसके अलावा उत्तर की ओर दुनिया भर में प्रसिद्ध मैरियन अपभ्रंश फातिमा (मंदिर) के महान अभयारण्य की यात्रा करें।,-1.0,1.0
"खास पिरामिड के आकार के टॉवर (पगोडा) जिन्हें कभी-कभी ज़िगुरैट के नाम से भी जाना जाता था, को मंदिर के हिस्से के तौर पर बनाया गया था.","कभी-कभी विशेष पिरामिड के आकार के टावर, जिन्हें ज़िगगुरेट कहा जाता है, मंदिरों का एक हिस्सा बनने के लिए बनाया गया था।",1.0,1.0
"चैंबर्स ने “व्यापक मौत, विनाश और पृथ्वी के लाखों निवासी पर आतंक के लिए भगवान पर मुकदमा चलाया था।”","चैम्बर्स ने पृथ्वी के लाखों निवासियों पर ""व्यापक मृत्यु, विनाश और लाखों लोगों के आतंकित"" के लिए भगवान पर मुकदमा किया था।",1.0,1.0
"नमी वाले कपड़ों को सुखाने के लिए उन पर इस्त्री की जा सकती है. कई होटल में लोन पर कपड़े प्रेस करने वाली ईस्त्री और बोर्ड मिलते हैं, चाहे ये चीज़ें कमरे में न भी हों.","कई होटलों में ऋण के लिए लोहे और लोहे का बोर्डउपलब्ध होता है, भले ही वह कमरे में मौजूद न हो ।",1.0,1.0
"“दिन में ये आस-पास की सतहों से ज़्यादा ठंडी और रात में गर्म होती हैं. उनका ऊष्मीय व्यवहार पृथ्वी की बड़ी गुफाओं जैसा स्थिर नहीं है जो अक्सर काफी स्थिर तापमान बनाए रखती हैं, लेकिन यह जमीन के इन गहरे छेद के अनुरूप है,” यूनाइटेड स्टेट्स जियोलॉजिकल सर्वे (यूएसजीएस) की भूगर्भीय टीम और फ्लैगस्टाफ, एरिजोना में स्थित उत्तरी एरिजोना विश्वविद्यालय के ग्लेन कुशिंग ने कहा।","वे दिन में आसपास की सतह की तुलना में ठंडे और रात में गर्म होते हैं। उनका थर्मल व्यवहार पृथ्वी पर बड़ी गुफाओं जितना स्थिर नहीं है, जो अक्सर काफी स्थिर तापमान बनाए रखता है, लेकिन यह जमीन में गहरे छेद होने के अनुरूप है, यूनाइटेड स्टेट्स जियोलॉजिकल सर्वे (यूएसजीएस) एस्ट्रोजियोलॉजी टीम और के ग्लेन कुशिंग ने कहा। फ्लैगस्टाफ, एरिजोना में स्थित उत्तरी एरिजोना विश्वविद्यालय।",1.0,0.6923
"उनकी दूसरी दौड़, विशाल स्लैलम, महिलाओं के समूह में 4: 41.30, 2: 11.60 मिनट के संयुक्त कार्यावधि के साथ पहले स्थान के फ़िनिशर ऑस्ट्रियन क्लाउडिया लोएश की तुलना में और 1: 09.02 मिनट हंगरी के नौवें स्थान के फ़िनिशर ग्नोगी दानी से दसवें स्थान पर धीमी गति से समाप्त हुई.","उसकी दूसरी दौड़, विशाल स्लैलम, 4:41.30, 2:11.60 मिनट पहले स्थान फिनिशर ऑस्ट्रिया के क्लाउडिया Loesch और 1:09.02 मिनट हंगरी के नौवें स्थान फिनिशर Gyöngyiदानी से धीमी से धीमी के एक संयुक्त रन समय के साथ महिलाओं के बैठे समूह में दसवें में उसे खत्म देखा ।",1.0,1.0
"4 जुलाई को कांग्रेस द्वारा अपनाए जाने के बाद, एक हाथ से लिखे गए मसौदे पर कांग्रेस के अध्यक्ष जॉन हैनकॉक और सचिव चार्ल्स थ्रॉन द्वारा हस्ताक्षर किये गए थे, फिर इसे कुछ ब्लॉक दूर जॉन डनलप की प्रिंटिंग की दुकान पर भेजा गया था.","4 जुलाई को कांग्रेस द्वारा इसे स्वीकार करने के बाद, कांग्रेस के अध्यक्ष जॉन हैनकॉक और सचिव चार्ल्स थॉमसन द्वारा हस्ताक्षरित एक हस्तलिखित मसौदे को कुछ ब्लॉक दूर जॉन डनलप की मुद्रण दुकान को भेजा गया।",1.0,1.0
यह ब्रिटेन में कहीं और आम बात है लेकिन स्कॉटिश न्याय अलग तरीके से काम करता है और अदालतों ने तस्वीरों के प्रकाशन को संभावित नुक़सानदेह के रूप मे देखा हैं |,यह ब्रिटेन में कहीं और आम प्रथा है लेकिन स्कॉटिश न्याय अलग-अलग काम करता है और अदालतों ने फोटो प्रकाशन को संभावित रूप से पूर्वाग्रही माना है।,1.0,1.0
हर्शे और चेज़ ने अपने डीएनए को एक जीवाणु में डालने के लिए फेज या वायरस का इस्तेमाल किया.,हर्शी और चेज ने जीवाणु में अपने डीएनए को प्रत्यारोपित करने के लिए फेज या वायरस का उपयोग किया।,1.0,1.0
"यूएसए जिमनास्टिक्स और यूएसओसी का एक ही लक्ष्य है — एथलीटों को सुरक्षित, सकारात्मक और सशक्त वातावरण में अपने सपनों का अनुसरण करने के लिए जिमनास्टिक्स और अन्य लोगों के खेल को जितना संभव हो सके उतना सुरक्षित बनाना.","संयुक्त राज्य अमेरिका जिमनास्टिक और USOC एक ही लक्ष्य है-जिमनास्टिक के खेल बनाने, और दूसरों, एथलीटों के लिए संभव के रूप में सुरक्षित के रूप में एक सुरक्षित, सकारात्मक और सशक्त वातावरण में अपने सपनों का पालन करें ।",-1.0,1.0
अर्जेंटीना दुनिया में सबसे अच्छी पोलो टीम और खिलाड़ियों के लिए जाना जाता है.,अर्जेंटीना दुनिया की सर्वश्रेष्ठ पोलो टीमों और खिलाड़ियों में से एक होने के लिए जाना जाता है।,1.0,1.0
"सभी गुफाओं, जिनका नाम “सात बहनें” रखा गया, में घुसने की जगह का डायमीटर कम से कम 100 से 250 मीटर (328 से 820 फ़ीट) है.","गुफा के सभी प्रवेश द्वार, जिन्हें 'द सेवन सिस्टर्स' नाम दिया गया था, कम से कम 100 से 250 मीटर (328 से 820 फीट) व्यास में हैं।",1.0,1.0
"सुंदरबन 3,850 वर्ग किलोमीटर में फैला है, जिसमें से करीब एक तिहाई में पानी/दलदल वाला इलाका है.","सुंदरवन 3,850 वर्ग किमी के क्षेत्र को कवर करता है, जिसमें से लगभग एक-तिहाई पानी / दलदली क्षेत्रों मेंशामिल है।",1.0,1.0
प्राचीन रोमन भोजन में बाद की शताब्दियों में अमेरिका या एशिया से यूरोप आए खाद्य पदार्थ शामिल नहीं हो सकते थे.,प्राचीन रोमन भोजन में उन खाद्य पदार्थों को शामिल नहीं किया जा सकता था जो बाद की शताब्दियों में अमेरिका या एशिया से यूरोप आए थे।,1.0,1.0
परिसर के किनारे ज़्यादातर इमारतें फिर से बनाई गई हैं ताकि पर्यटकों को बेहतर ढंग से पता चल सके कि वे मूल रूप में कैसी दिखाई देती थी.,परिसर के किनारों पर इमारतों के अधिकांश पुनर्निर्माण के लिए पर्यटकों को कैसे वे मूल रूप से दिखाई का एक बेहतर विचार देने के लिए बनाया गया है ।,1.0,0.5
"इस गतिशील परिवहन शटल में हर कोई किसी न किसी तरह से जुड़ा हुआ है, और निजी कारों पर आधारित परिवहन प्रणाली का समर्थन करता है.",इस गतिशील परिवहन शटल में हर कोई किसी न किसी तरह से निजी कारोंपर आधारित परिवहन प्रणाली से जुड़ा हुआ है और उसका समर्थन करता है।,1.0,1.0
"ताज़ा-तरीन बुलेटिन के मुताबिक, समुद्री स्तर की रीडिंग बताती है कि वहाँ सुनामी आई थी. पागो पागो और नीयू के करीब सुनामी की कुछ गतिविधि पक्के तौर पर रिकॉर्ड की गई थी.","नवीनतम बुलेटिन के अनुसार, समुद्र स्तर की रीडिंग से संकेत मिलता है कि सुनामीउत्पन्न हुई थी । पागो पागो और एनआईयूई के पास कुछ निश्चित सुनामी गतिविधि दर्ज की गई थी ।",1.0,1.0
"“वह [वेल्स] शुरू से ही हमसे झूठ बोलता रहा है। सबसे पहले, ढोंग करते हुए कि यह कानूनी कारणों के लिए था। दूसरा, अपनी कला को हटाने के समय तक यह जताते हुए कि वह हमारी बात सुन रहा था।”","""वह [वेल्स] मूल रूप से शुरू से ही हमसे झूठ बोला । पहला, अभिनय करके जैसे कि यह कानूनी कारणों से था । दूसरा, नाटक करके वह हमें सुन रहा था, सही अपनी कला को हटाने के लिए ।",0.3333,1.0
"तमाकी ड्राइव समुद्री तट वाटेमाटा हार्बर पर, सेंट्रल ऑकलैंड में मिशन बे और सेंट हेलियर्स के महंगे उपनगरों में मौजूद हैं.","Tamaki ड्राइव समुद्र तटोंप्रतीक्षामाता हार्बर पर हैं, मिशन बे और सेंट्रल ऑकलैंड में सेंट Heliers के अपमार्केट उपनगरों में ।",1.0,1.0
तब से एडेकोया अपने बेटे की हत्या के आरोप में एडिनबर्ग शेरिफ कोर्ट में है।,एडकोया तब से एडिनबर्ग शेरिफ कोर्ट में अपने बेटे की हत्या के आरोप में है।,1.0,1.0
पुलिस ने कहा कि उन्हें हमले के लिए ज़िम्मेदार कथित डाएश (आईएसआईएल) लड़ाकों पर संदेह है.,पुलिस ने बताया कि उन्हें हमले की जिम्मेदारी के एक कथित दानेश(आईएसआईएल) आतंकवादी पर शक है ।,1.0,1.0
अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश एशिया के एक हफ़्ते के दौरे की शुरुआत करते हुए 16 नवंबर की सुबह सिंगापुर पहुँचे.,"अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश 16 नवंबर की सुबह सिंगापुर पहुंचे, जिन्होंने एशिया की एक सप्ताह की यात्रा शुरू की।",-1.0,0.75
गीज़ा में मौजूद ग्रेट पिरामिड सात अजूबा में से केवल एक है जो आज भी खड़ा है।,गिजा में ग्रेटपिरामिड उन सात अद्भुतों में से एक है जो आज भी खड़े हैं।,1.0,1.0
गीज़ा में मौजूद ग्रेट पिरामिड सात अजूबा में से केवल एक है जो आज भी खड़ा है।,गीज़ा में ग्रेटपिरामिड सात आश्चर्यों में से केवल एक है जो आज भी खड़ा है।,1.0,1.0
"पराग्वे, जिसे पहले “इंडीज का विशाल प्रांत” कहा जाता था उसका जन्म 16वीं शताब्दी में, स्वदेशी समूहों के साथ स्पेनिश विजेताओं की मुठभेड़ की वजह से हुआ था.","16वीं शताब्दी में पराग्वे, जिसे पहले 'द जायंट प्रोविंस ऑफ द इंडीज़' कहा जाता था, का जन्ममूल स्वदेशी समूहों के साथ स्पेनी विजेताओं की मुठभेड़ के परिणामस्वरूप हुआ था।",1.0,1.0
जैसे किसी भारी गाड़ी को पहाड़ पर रोल करके चढ़ाया जा रहा हो. न्यूक्लियस को फिर से विभाजित करना और उसमें से कुछ ऊर्जा निकालना.,एक पहाड़ी पर एक भारी गाडि़या रोलकरने की तरहन्यूक्लियस को फिर से विभाजित करने के बाद उस ऊर्जा में से कुछ को छोड़ देता है।,-1.0,1.0
एक दंपत्ति फैसला ले सकता है कि यह उनके या उनके बच्चे के हित में बिलकुल नहीं है कि एक दूसरा बच्चा किया जाए |,एक दंपति यह निर्णय ले सकता है कि बच्चे को पालने के लिए यह उनके सर्वोत्तम हित में या अपने बच्चे के हित में नहीं है।,1.0,1.0
"ताज़ा-तरीन बुलेटिन के मुताबिक, समुद्री स्तर की रीडिंग बताती है कि वहाँ सुनामी आई थी. पागो पागो और नीयू के करीब सुनामी की कुछ गतिविधि पक्के तौर पर रिकॉर्ड की गई थी.","नवीनतम बुलेटिन के अनुसार, समुद्र स्तर के पठन से संकेत मिलता है कि सुनामी उत्पन्न हुई थी। पगो पगो और नीयू के पास कुछ निश्चित सुनामी गतिविधिदर्ज की गई थी।",1.0,0.75
लेटन ने पीएम से मुलाकात के दौरान कंज़र्वेटिव पार्टी के पर्यावरण बिल में बदलाव के लिए कहा था. अब कंज़र्वेटिव पार्टी के पर्यावरण बिल को “पूरी तरह से फिर से लिखने” के लिए कहा जा रहा है.,"लेटन ने कंजर्वेटिव पार्टी के पर्यावरण बिल के ""पूरी तरह से और पूर्ण पुनर्लेखन"" के लिए पीएम के साथ बैठक के दौरान रूढ़िवादियों के पर्यावरण बिल में बदलाव के लिए कहा था।",1.0,1.0
एआई में अनुसंधान में ऐसे कार्यों को स्वचालित करने के लिए मशीनें बनाना शामिल है जिनमें बुद्धिमान व्यवहार की आवश्यकता होती है।,AI में अनुसंधान में ऐसे कार्यों को स्वचालित करने के लिए मशीनें बनाना शामिल है जिनमें बुद्धिमान व्यवहार की आवश्यकता होती है।,1.0,1.0
"ब्लॉगिंग एक ऐसा टूल है जो सहयोग को प्रेरित करता है, और छात्रों को पारंपरिक स्कूल के दिन से बेहतर सीखने के लिए प्रोत्साहित करता है.",ब्लॉगिंग एक ऐसा उपकरण है जो सहयोग को प्रेरितकरता है और छात्रों को पारंपरिक स्कूल दिवस से आगे सीखने के लिए प्रोत्साहित करता है।,1.0,1.0
"इटैलियन भी रोज़ाना इस्तेमाल होने वाली भाषा है जिसे राज्य में काम करने वाले अधिकांश लोग उपयोग में लाते हैं, जबकि लेटिन का धार्मिक रस्मों में इस्तेमाल किया जाता है.",इतालवी भी रोजमर्रा की भाषा है जो राज्य में काम करने वालों में से अधिकांश द्वारा उपयोग की जाती है जबकि लैटिन अक्सर धार्मिक समारोहों में उपयोग की जाती है।,1.0,0.3333
हाइड्रोजन आयन वे प्रोटोन्स हैं जिनके इलेक्ट्रॉन्स ने उन्हें हटा दिया (क्योंकि हाइड्रोजन एटम एक प्रोटान और एक इलेक्ट्रॉन से मिल कर बना होता है).,हाइड्रोजन आयन ऐसे प्रोटोन हैं जिन पर उनके इलेक्ट्रॉन छीन लिए गए थे(जबकि हाइड्रोजन परमाणु एक प्रोटोन और एक इलेक्ट्रॉन होते हैं)।,1.0,1.0
उस विशेष जहर के लिए विशेष प्राथमिक चिकित्सा निर्देशों के लिए लेबल को देखेंं।,उस विशिष्ट जहर के लिए विशिष्ट फर्स्ट एड निर्देश के लिए लेबल की जांच करें।,0.0,1.0
उनके अंतर्गत अधिक मध्यम आकार की बिल्लियाँ होती हैं जो खरगोशों से लेकर मृगों और हिरणों तक के मध्यम आकार के शिकार खाती हैं.,उनके नीचे मध्यम आकार की बिल्लियां होती हैं जो मध्यम आकार के शिकार खाती हैं जैसे खरगोश से लेकर एंटीलॉप और हिरण।,1.0,1.0
"गोमा, रवांडा के पास बिल्कुल पूर्व में कांगो लोकतांत्रिक गणराज्य का एक पर्यटन शहर है.",गोमा रवांडा के पास चरम पूर्व में कांगो लोकतांत्रिक गणराज्य का एक पर्यटन शहर है ।,1.0,1.0
"रूमानियत में सांस्कृतिक नियतिवाद का बड़ा तत्व था, जो गोएथे, फिच्ते और श्लेगल जैसे लेखकों से लिया गया.","स्वच्छंदतावाद में सांस्कृतिक नियतिवाद का एक बड़ा तत्व था, जो गोएथे, फिशे और श्लेगल जैसे लेखकों से लिया गया था।",1.0,1.0
"2011 के बाद से, कभी-कभी चुनाव कराने में रहने की वजह से हिंसक विरोध शुरू हो गया था.","कभी-कभी हिंसक विरोध चुनावों को आयोजित करने में विफलता के कारण शुरू हुए थे, कुछ 2011 से देय थे।",1.0,0.7143
उनका काम ऐसी गुणवत्ता और विस्तार के पहचान का है कि वह टिकट संग्रहकर्ताओं के बीच बहुत कम “घरेलू नामों” में से एक है. कुछ उनके काम को अकेले बटोरने में माहिर हैं.,उनका काम इतनी मान्यता प्राप्त गुणवत्ता और विवरण वाला है कि वह डाक टिकट संग्रहकर्ताओं के बीच बहुत कम घरेलू नामों में से एक हैं।कुछ लोग अकेलेउनके काम को इकट्ठा करने में माहिर हैं।,1.0,1.0
उपग्रह को एक रॉकेट से अंतरिक्ष में भेजा गया था. वैज्ञानिक अंतरिक्ष में दूरबीनों का उपयोग करते हैं क्योंकि पृथ्वी का वायुमंडल हमारे कुछ प्रकाश और दृश्य को अशुद्ध करता है.,उपग्रह को एक रॉकेट द्वारा अंतरिक्ष में भेजा गया था। वैज्ञानिक अंतरिक्ष में दूरबीन का उपयोग करते हैं क्योंकि पृथ्वी का वायुमंडल हमारे कुछ प्रकाश और दृश्य को विकृत कर देता है।,1.0,1.0
"वह अभियोग और मुकदमा लंबित है, लेकिन किसी भी चश्मदीद गवाह को प्रभावित किया जा सकता है, क्योंकि उसकी छवि व्यापक रूप से प्रकाशित हुई है.","वह लंबित आरोप-प्रत्यारोपण और मुकदमे की हिरासत में है, लेकिन किसी भी चश्मदीद गवाह के सबूत दागे जा सकते हैं क्योंकि उसकी छवि व्यापक रूप से प्रकाशित हो चुकी है।",1.0,1.0
"हालांकि, साधारण रूप से वैगनवे में लकड़ी से बने एकसमान तख्त लगे होते थे, लेकिन घोड़े उन्हें तेज़ गति से खींच सकते थे और उन दिनों के थोड़ी ज़्यादा ख़राब रास्तों पर ज़्यादा बड़े भार ले जाए जा सकते थे.","हालांकि वैगनवेज में केवल लकड़ी की समानांतर योजनाएंशामिल थीं, लेकिन वे घोड़ों को उन्हें खींचने की अनुमति देते थे ताकि वे दिन की थोड़ी अधिक कठिन सड़कों की तुलना में अधिक गति प्राप्त कर सकें और अधिक बोझ खींच सकें।",1.0,0.6667
सन 1976 तक माचू पिचू के तीस प्रतिशत हिस्से का जीर्णोद्धार कर दिया गया था और जीर्णोद्धार का कार्य आज तक जारी है।,१९७६ तक तीस प्रतिशत माचू पिचू को बहाल कर दिया गया था और बहाली आज तक जारी है ।,1.0,1.0
"उदाहरण के लिए, उनके पास ना तो मकई थी, न ही टमाटर, आलू, और कोकोआ था और किसी भी प्राचीन रोम वासी ने कभी भी टर्की नहीं चखा था।","उदाहरण के लिए, उनके पास न मक्का था, न टमाटर, न आलू, न कोको, और न ही किसी प्राचीन रोमन ने कभी टर्की का स्वाद लिया।",1.0,1.0
"मरीज नाइजीरिया गया था, जहाँ इबोला वायरस के कुछ मामले सामने आए हैं.","मरीज नाइजीरिया गया था, जहां इबोला वायरस के कुछ मामले सामने आए हैं।",1.0,1.0
"बैकपैकिंग बाय स्की: इस गतिविधि को बैककंट्री स्की, स्की टूरिंग या स्की हाइकिंग भी कहा जाता है.","स्की द्वारा पैदल यात्रा: इस गतिविधि को बैककंट्री स्की, स्की दौरा या स्की हाइकिंग भी कहा जाता है।",1.0,0.6667
यह “विची” फ़्रांसीसी लोगों द्वारा शासित था. ये फ़्रांसीसी लोग ही थे जिन्होंने 1940 में जर्मनों के साथ शांति स्थापित की थी और आक्रमणकारियों से लड़ने के बजाय उनके साथ काम किया था.,"यह ""विची"" फ्रेंचद्वारा शासित था। ये फ्रांसीसी लोग थे जिन्होंने १९४० में जर्मनों के साथ शांति बनाई थी और उनसे लड़ने के बजाय आक्रमणकारियों के साथ काम किया था ।",1.0,1.0
